seshat_long_name,seshat_polities,chronos_polities,seshat_century,chronos_century,pop,terr,popcap,geo,ecothreat1,ecothreat2,heterogeneity,genderstructure,complexity,socialstructure,moralizingreligion
French Kingdom - Late Bourbon,FrBurbL,FrBurkl,1700.0,1700.0,24680000.0,1652000.0,544000.0,0.1,0.7,0.64999999999999991,,0.2,0.77220392307692309,0.1423076923076923,0.84615384615384615
Proto-French Kingdom,FrCaptE,FrCapke,1100.0,1100.0,2162000.0,32000.0,17000.0,0.1,0.25,0.35,,0.2,0.32107388888888888,0.1388888888888889,0.76923076923076927
French Kingdom - Late Capetian,FrCaptL,FrCapkl,1200.0,1200.0,7571000.0,182000.0,84000.0,0.1,1.1,0.4,,0.2,0.6675313125,0.15,0.76923076923076927
Carolingian Empire I,FrCarlE,FrCarke,800.0,800.0,13899000.0,810000.0,26000.0,0.1,0.2,0.2,,0.2,0.3878794,0.15,0.84615384615384615
Hallstatt A-B1,FrHallA,GeHalce,-1000.0,-1100.0,4095000.0,2000000.0,500.0,-0.0500000000000001,,,,0.2,0.12691940000000002,0.15,0.46153846153846156
Hallstatt B2-3,FrHallB,GeHalcm,-800.0,-700.0,5518000.0,2000000.0,2000.0,-0.05,0.30000000000000004,,,0.2,0.17371016666666667,0.15,0.46153846153846156
Hallstatt C,FrHallC,GeHalcl,-700.0,-700.0,5906000.0,2000000.0,3000.0,-0.049999999999999885,0.30000000000000004,,,0.2,0.17702511111111113,0.15,0.46153846153846156
Hallstatt D,FrHallD,GeHalct,-500.0,-600.0,6838000.0,2000000.0,4000.0,-0.0499999999999999,0.2,,,0.2,0.18096363636363635,0.15,0.46153846153846156
Early Merovingian,FrMervE,FrMrvke,500.0,500.0,2132000.0,600000.0,26000.0,0.1,0.25,0.3,,0.2,0.50995044444444448,0.15,0.76923076923076927
Proto-Carolingian,FrMervL,FrMrvkl,700.0,700.0,8746000.0,250000.0,30000.0,0.1,0.75000000000000011,,,0.2,0.51970712499999994,0.15,0.76923076923076927
Middle Merovingian,FrMervM,FrMrvkm,600.0,600.0,4444000.0,600000.0,30000.0,0.1,0.2,0.3,,0.2,0.52034845454545453,0.15,0.76923076923076927
La Tene A-B1,FrTeneA,FrTence,-400.0,-400.0,8923000.0,2200000.0,4000.0,-0.049999999999999947,0.35,0.1,,0.2,0.18875283333333334,0.16944444444444445,0.46153846153846156
La Tene B2-C1,FrTeneB,FrTencm,-300.0,-300.0,11472000.0,2400000.0,2000.0,-0.05,0.4,,,0.2,0.2710608000000001,0.115,0.46153846153846156
La Tene C2-D,FrTeneC,"FrTenct, FrTencl",-100.0,-100.0,15679000.0,2621000.0,6000.0,-0.05,0.45,,,0.2,0.29333315789473685,0.10526315789473685,0.46153846153846156
French Kingdom - Early Valois,FrValoE,FrValke,1400.0,1400.0,13431000.0,321000.0,195000.0,0.10454545454545455,0.6,0.7,,0.2,0.72340145454545457,0.15,0.76923076923076927
French Kingdom - Late Valois,FrValoL,FrValkl,1500.0,1500.0,17566000.0,449000.0,231000.0,0.1,0.6,0.5,,0.2,0.74323215384615382,0.15,0.76923076923076927
British Empire II,GbEmpr2,UkBriel,1800.0,1900.0,400000000.0,35000000.0,2000000.0,0.2,0.2,0.3,,0.2,0.8872245,0.15,0.84615384615384615
Akan - Pre-Ashanti,GhAshnE,"GhDnke*, GhAkace, GhAkacf",1600.0,1500.0,77000.0,21000.0,2000.0,-0.1,1.05,,0.5,0.05,0.21962697777777779,0.2,0.69230769230769229
Ashanti Empire,GhAshnL,GhAnte*,1800.0,1800.0,1435000.0,239000.0,10000.0,-0.1,0.55000000000000016,,,0.1,0.39867926315789476,0.2,0.69230769230769229
Hawaii I,Hawaii1,HaHwice,1100.0,1100.0,1000.0,3000.0,500.0,-0.2,,,,0.2,0.013629764705882353,0.15,0.076923076923076927
Hawaii II,Hawaii2,"HaHwicl, HaHwicm",1400.0,1400.0,22000.0,10000.0,500.0,-0.2,,0.2,,0.2,0.095622763157894725,0.15,0.076923076923076927
Hawaii III,Hawaii3,HaHwik*,1700.0,1700.0,128000.0,10000.0,1000.0,-0.2,0.55,0.2,,0.2,0.20736300000000005,0.15,0.15384615384615385
Java - Buni Culture,IdCJBun,IdBunc*,100.0,0.0,30000.0,20000.0,1000.0,0.2,0.3,,0.4,0.0,0.066492,0.15,0.0
Kalingga Kingdom,IdKalin,IdKalk*,600.0,600.0,150000.0,60000.0,2000.0,0.2,0.05,,,0.2,0.15278726086956523,0.2,0.61538461538461542
Kediri Kingdom,IdKedir,IdKedk*,1100.0,1100.0,250000.0,70000.0,11000.0,0.2,0.3,0.1,,0.2,0.43293589473684213,0.2,0.76923076923076927
Majapahit Kingdom,IdMajap,IdMpte*,1400.0,1400.0,3957000.0,396000.0,152000.0,0.2,1.1500000000000001,0.1,,0.2,0.60553456521739146,0.2,0.76923076923076927
Mataram Sultanate,IdMatrm,IdMtrk*,1600.0,1700.0,3188000.0,84000.0,180000.0,0.2,1.0,0.60000000000000009,,0.2,0.6078650625,0.153125,0.84615384615384615
Medang Kingdom,IdMedng,"IdMdnkl, IdMdnke",900.0,900.0,214000.0,117000.0,4000.0,0.2,0.70000000000000018,0.5,0.2,0.2,0.44105955172413797,0.17931034482758618,0.76923076923076927
Canaan,IlCanaa,IlCankl,-1600.0,-1800.0,60000.0,15000.0,10000.0,0.0,0.8,0.4,0.35,0.2,0.337132,0.13870967741935486,0.076923076923076927
Yehuda,IlJudea,IlJudk*,-100.0,-100.0,275000.0,8000.0,100000.0,0.2,0.35,0.45,,0.2,0.279975625,0.1875,0.0
Yisrael,IlYisrl,IlYsrk*,-900.0,-900.0,700000.0,55000.0,40000.0,0.05,1.0,0.89999999999999991,,0.2,0.542093,0.13846153846153844,0.076923076923076927
Deccan - Iron Age,InDecIA,"InVedkl, InVedcm, InVedce",-800.0,-1000.0,200000.0,200000.0,2000.0,0.0,0.7,0.35,0.55,0.2,0.20662287341772148,0.1936708860759494,0.0
Deccan - Neolithic,InDecNL,"InOchc*, InChrcl",-2000.0,-2000.0,69000.0,83000.0,500.0,0.0,0.4,,0.60000000000000009,0.0,0.0674443,0.12499999999999994,0.0
Delhi Sultanate,InDelh*,"InDelkl, InDelke",1400.0,1400.0,70323000.0,2097000.0,400000.0,0.0,1.1500000000000001,1.15,,0.2,0.78614390322580663,0.15,0.84615384615384615
Gupta Empire,InGupta,"InGptel, InGptee",400.0,400.0,18240000.0,1380000.0,150000.0,0.0,1.0,0.39999999999999997,,0.2,0.4594582,0.15,0.76923076923076927
Mahajanapada era (north India late Vedic period),InMahaJ,InMjpk*,-500.0,-500.0,2500000.0,220000.0,25000.0,0.0,0.45,0.05,0.2,0.2,0.330908,0.10172413793103449,0.46153846153846156
Magadha - Maurya Empire,InMaury,InMaue*,-200.0,-200.0,50000000.0,2357000.0,170000.0,0.0,0.5,0.2,,0.2,0.63846385714285725,0.2,0.69230769230769229
Rashtrakuta Empire,InRasht,InRstk*,900.0,800.0,6000000.0,600000.0,100000.0,0.0,0.3,,,0.2,0.55108,0.2,0.76923076923076927
Magadha - Sunga Empire,InSunga,InSune*,-100.0,-100.0,38364000.0,4000000.0,164000.0,0.0,0.3,0.05,0.2,0.2,0.34108509090909084,0.11818181818181819,0.61538461538461542
Abbasid Caliphate I,IqAbbs1,IqAbsee,800.0,900.0,17064000.0,5630000.0,561000.0,0.052500000000000005,0.9,0.35000000000000003,0.35,0.2,0.621007,0.1,0.84615384615384615
Akkadian Empire,IqAkkad,IqAkke*,-2200.0,-2300.0,382000.0,976000.0,41000.0,0.05,0.45,1.2999999999999998,,0.2,0.4508111578947368,0.2,0.69230769230769229
Kassite Babylonia,IqBabKs,IqBabkm,-1400.0,-1400.0,1135000.0,250000.0,48000.0,0.05,1.2500000000000004,0.1,0.5,0.2,0.42586100000000005,0.2,0.53846153846153844
Bazi Dynasty,IqBazi*,IqBazk*,-1000.0,-1000.0,275000.0,23000.0,13000.0,0.05,0.2,0.2,,0.2,0.31775359999999997,0.2,0.53846153846153844
Dynasty of E,IqDynE*,IqDnek*,-900.0,-800.0,1370000.0,25000.0,11000.0,0.05,0.95000000000000007,0.5,,0.2,0.370633375,0.2,0.53846153846153844
Early Dynastic Sumer,IqEDyn*,"IqSumkm, IqSumke",-2600.0,-2700.0,67000.0,22000.0,45000.0,0.05,0.4,,,0.2,0.41697433333333339,0.2,0.53846153846153844
Isin-Larsa,IqIsinL,IqIsnkl,-1900.0,-1900.0,259000.0,25000.0,199000.0,0.05,0.05,0.2,,0.2,0.43115118181818179,0.2,0.53846153846153844
Neo-Assyrian Empire,IqNAssr,IqAsre*,-600.0,-700.0,1302000.0,1400000.0,13000.0,0.05,0.35,0.25,0.2,0.2,0.44742036363636362,0.2,0.61538461538461542
Neo-Babylonian Empire,IqNeoBb,IqBabe*,-600.0,-600.0,1659000.0,800000.0,14000.0,0.05,0.44999999999999996,0.35,,0.2,0.36429777777777772,0.2,0.61538461538461542
Ubaid,IqUbaid,"IqUbakt, IqUbakl, IqUbakm, IqUbake, IqUbakf",-4900.0,-4800.0,3000.0,16000.0,2000.0,0.05,0.05,0.15,0.30000000000000004,0.2,0.07157733774834435,0.13046357615894036,0.0
Ur - Dynasty III,IqUrIII,IqUrdk*,-2100.0,-2100.0,299000.0,50000.0,110000.0,0.05,0.35000000000000003,,,0.2,0.42637227272727268,0.2,0.69230769230769229
Uruk,IqUruk*,"IqJmdk*, IqUrukl, IqUrukm, IqUruke",-3600.0,-3400.0,34000.0,19000.0,25000.0,0.05,0.25,0.4,0.1,0.2,0.25984747272727282,0.2,0.0
Achaemenid Empire,IrAchae,IrAche*,-400.0,-400.0,2422000.0,4310000.0,17000.0,-0.05,1.3,1.0,,0.2,0.76425423809523818,0.2,0.76923076923076927
Buyid Confederation,IrBuyid,IrBuyk*,1000.0,1000.0,5989000.0,1000000.0,430000.0,0.05,0.6,0.2,,0.2,0.4981005,0.1,0.84615384615384615
Fertile Crescent Period,IrForma,IqOuec*,-7100.0,-6100.0,1000.0,16000.0,500.0,0.05,,,,0.0,0.0224294,0.15,0.0
Parthian Empire I,IrPart1,IrParee,-0.0,-0.0,3890000.0,2044000.0,261000.0,0.0,1.05,0.39999999999999997,0.4,0.2,0.57846063157894734,0.15,0.92307692307692313
