seshat_long_name,seshat_polities,chronos_polities,seshat_century,chronos_century,pop,terr,popcap,geo,ecothreat1,ecothreat2,heterogeneity,genderstructure,complexity,socialstructure,moralizingreligion
Andronovo,KzAndro,InVedcf,-1700.0,-1500.0,200000.0,200000.0,1000.0,0.0,0.1,,0.15,0.2,0.117041,0.155,0.30769230769230771
Phoenician Empire,LbAcPho,LbPhec*,-1100.0,-1100.0,500000.0,55000.0,40000.0,0.2,0.3,,,0.2,0.410324,0.15,0.076923076923076927
Archaic Basin of Mexico,MxArch*,MxCoxnt,-4000.0,-2500.0,1000.0,4000.0,500.0,-0.1,,,,0.0,0.011478,0.1,0.0
Aztec Empire,MxAztec,MxAzte*,1500.0,1500.0,3538000.0,7000.0,200000.0,0.2,0.75,0.75,,0.2,0.63012877777777776,0.2,0.76923076923076927
Classic Basin of Mexico,MxClass,"MxTeokl, MxTeoke",400.0,300.0,67000.0,6000.0,100000.0,-0.05,0.1,1.2000000000000002,0.4,0.2,0.36560068656716427,0.13955223880597015,0.69230769230769229
Epiclassic Basin of Mexico,MxEpicl,"MxCcxk*, MxChok*",800.0,800.0,134000.0,6000.0,27000.0,-0.05,0.3,,,0.2,0.39416970833333337,0.2,0.69230769230769229
Early Formative Basin of Mexico,MxFormE,MxTlac*,-1000.0,-1000.0,8000.0,4000.0,3000.0,-0.1,0.1,,,0.2,0.162494325,0.2,0.0
Late Formative Basin of Mexico,MxFormL,MxEpok*,-300.0,-200.0,28000.0,6000.0,26000.0,-0.05,0.1,0.3,0.15,0.2,0.18919175000000002,0.2,0.69230769230769229
Middle Formative Basin of Mexico,MxFormM,MxCuik*,-600.0,-600.0,15000.0,6000.0,5000.0,-0.05,0.25,0.05,0.15,0.2,0.17224555000000008,0.2,0.0
Initial Formative Basin of Mexico,MxInitl,"MxOlmc*, MxPrec*",-1600.0,-1600.0,3000.0,4000.0,1000.0,-0.1,,,0.35,0.2,0.09466871250000003,0.17500000000000002,0.0
Middle Postclassic Basin of Mexico,MxPostM,MxAtpk*,1300.0,1300.0,1650000.0,6000.0,25000.0,0.0,0.7,,,0.2,0.32971708695652174,0.2,0.76923076923076927
Toltecs,MxToltc,MxTltc*,1100.0,1000.0,393000.0,6000.0,50000.0,-0.05,0.7,0.7,0.1,0.200000000000001,0.3720417333333334,0.2,0.76923076923076927
Cuzco - Early Intermediate I,PeCuzE1,PeLimce,400.0,300.0,4000.0,1000.0,500.0,-0.1,0.05,,,0.0,0.053665333333333329,0.15,0.0
Cuzco - Early Intermediate II,PeCuzE2,"PeWrief, PeLimcl",600.0,600.0,19000.0,2000.0,1000.0,-0.1,0.2,,,0.0,0.129899375,0.2,0.0
Cuzco - Late Intermediate I,PeCuzL1,PeLipke,1100.0,1100.0,125000.0,20000.0,17000.0,-0.1,0.2,0.05,,0.2,0.3782197,0.10250000000000001,0.15384615384615385
Cuzco - Late Intermediate II,PeCuzL2,PeLipkl,1300.0,1300.0,1243000.0,21000.0,30000.0,-0.1,0.05,0.05,,0.2,0.40491486956521738,0.15,0.15384615384615385
Cuzco - Late Formative,PeCuzLF,PeLimcf,100.0,100.0,1000.0,0.0,500.0,-0.1,,,,0.0,0.0302138,0.1,0.0
Inca Empire,PeInca*,PeInce*,1500.0,1500.0,6238000.0,655000.0,80000.0,-0.1,0.55,0.6,,0.2,0.55426545454545462,0.2,0.15384615384615385
Wari Empire,PeWari*,"PeWriel, PeWriee",800.0,800.0,82000.0,20000.0,1000.0,-0.1,0.5,0.6,,0.0,0.26186255882352949,0.2,0.0
Orokaiva - Pre-Colonial,PgOrokE,"PgPapcl, PgPapce",1800.0,1600.0,9000.0,22000.0,1000.0,0.0,0.5,0.3,0.2,0.2,0.2131888125,0.2,0.0
Sakha - Early,RuYakuE,RuYakn*,1500.0,1600.0,50000.0,1100000.0,500.0,-0.05,0.45,0.35,0.30000000000000004,0.0,0.090722642857142849,0.1,0.46153846153846156
Egypt - Kushite Period,SdKusht,SdKste*,-700.0,-700.0,2000000.0,600000.0,65000.0,0.1,0.2,0.05,,0.2,0.433446,0.2,0.92307692307692313
Umayyad Caliphate,SyCalUm,SyUmmk*,700.0,700.0,3187000.0,11000000.0,422000.0,0.05,0.9,0.1,,0.2,0.587110375,0.1,0.84615384615384615
Fatimid Caliphate,TnFatim,TnFtmk*,1100.0,1100.0,4250000.0,1162000.0,120000.0,0.1,0.75,0.4,0.1,0.2,0.7202428,0.1,0.92307692307692313
Konya Plain - Early Bronze Age,TrBrzER,"TrLuwkl, TrLuwke, TrHatc*",-2500.0,-2600.0,31000.0,25000.0,7000.0,-0.05,0.35,,0.4,0.2,0.16522943999999995,0.15,0.0
Konya Plain - Late Bronze Age II,TrBrzL2,TrHttem,-1500.0,-1400.0,159000.0,75000.0,16000.0,-0.05,0.6,0.2,0.1,0.2,0.46231725,0.2,0.46153846153846156
Middle Bronze Age in Central Anatolia,TrBrzMD,TrAsrk*,-1900.0,-1900.0,72000.0,25000.0,10000.0,-0.05,1.05,0.1,0.1,0.2,0.35291576666666674,0.15,0.0
Byzantine Empire I,TrByzM1,TrByzee,700.0,700.0,8766000.0,690000.0,108000.0,0.2,1.55,1.0,,0.2,0.75367228000000008,0.2,0.84615384615384615
Byzantine Empire II,TrByzM2,TrByzel,1000.0,1000.0,10841000.0,812000.0,179000.0,0.2,1.1,0.30000000000000004,0.35,0.2,0.59358104761904762,0.2,0.84615384615384615
Late Cappadocia,TrCappL,TrCpdkl,-100.0,-100.0,330000.0,130000.0,53000.0,-0.05,0.65,,,0.2,0.39916540000000006,0.15,0.61538461538461542
Konya Plain - Early Chalcolithic,TrClcER,TrCthcl,-5800.0,-5900.0,4000.0,10000.0,3000.0,-0.05,,,,0.05,0.067683433333333334,0.15,0.0
Konya Plain - Late Chalcolithic,TrClcLT,"TrSatct, TrYzgcl, TrYzgcm, TrYzgce, RoCctc*, TrMldc*, TrYumkt, TrYumkl, TrYumke, TrGvrkl, TrGvrke",-4000.0,-4200.0,10000.0,42000.0,3000.0,-0.043478260869565237,0.54999999999999993,0.7,0.6,0.2,0.14651159130434788,0.14565217391304353,0.0
East Roman Empire,TrERom*,TrRomet,500.0,500.0,16755000.0,1591000.0,384000.0,0.2,0.45000000000000007,1.9,,0.2,0.77437254545454537,0.2,0.84615384615384615
Hatti - New Kingdom,TrHatNK,TrHttel,-1300.0,-1300.0,1205000.0,316000.0,19000.0,-0.05,1.0,0.95,0.1,0.2,0.61468312500000011,0.2,0.46153846153846156
Hatti - Old Kingdom,TrHatOK,TrHttee,-1600.0,-1600.0,385000.0,115000.0,13000.0,-0.05,0.35000000000000003,0.2,,0.2,0.47886565,0.2,0.46153846153846156
Kingdom of Lydia,TrLydia,"TrLydkl, TrLydke",-600.0,-600.0,3149000.0,375000.0,31000.0,0.18214285714285713,1.0,,0.2,0.2,0.43679585714285718,0.15,0.38461538461538464
Neo-Hittite Kingdoms,TrNHitt,TrNhtk*,-1000.0,-1100.0,154000.0,137000.0,19000.0,-0.05,0.4,,,0.2,0.39236023529411762,0.15,0.46153846153846156
Konya Plain - Early Neolithic,TrNeoER,"TrAshcl, TrAshcm, TrAshce",-8300.0,-7800.0,1000.0,5000.0,500.0,-0.05,0.5,,0.15,0.0,0.017434857142857148,0.18571428571428569,0.0
Konya Plain - Late Neolithic,TrNeoLT,"TrCthcm, TrCthce, TrCthcf",-6300.0,-6300.0,6000.0,7000.0,5000.0,-0.05,,0.99999999999999989,,0.0,0.0714256,0.15,0.0
Ottoman Emirate,TrOttm1,TrOttef,1400.0,1400.0,2310000.0,247000.0,26000.0,0.2,0.4,,,0.2,0.57926850000000008,0.15,0.84615384615384615
Ottoman Empire I,TrOttm2,TrOttee,1500.0,1500.0,10176000.0,2241000.0,237000.0,0.2,0.15000000000000002,,0.30000000000000004,0.2,0.7784874,0.15,0.84615384615384615
Ottoman Empire II,TrOttm3,TrOttem,1600.0,1600.0,27015000.0,4931000.0,695000.0,0.2,0.5,0.45000000000000007,,0.2,0.84422315384615376,0.15,0.84615384615384615
Ottoman Empire III,TrOttm4,TrOttel,1800.0,1800.0,26945000.0,4682000.0,809000.0,0.2,0.4,0.4,,0.2,0.84686299999999992,0.15,0.84615384615384615
Phrygian Kingdom,TrPhryg,TrPhrk*,-800.0,-800.0,566000.0,100000.0,17000.0,-0.05,0.5,0.3,,0.2,0.19184457142857142,0.15,0.38461538461538464
Roman Empire - Dominate,TrRomDm,ItRomel,400.0,300.0,37353000.0,4500000.0,771000.0,0.2,0.9,,,0.2,0.675897090909091,0.14545454545454545,0.84615384615384615
Tabal Kingdoms,TrTabal,TrTblk*,-900.0,-900.0,218000.0,110000.0,17000.0,-0.05,0.2,,,0.2,0.177564875,0.2,0.46153846153846156
Cahokia - Lohman-Stirling,USCahoE,NaCahke,1100.0,1100.0,24000.0,20000.0,11000.0,0.1,,0.44999999999999996,0.1,0.2,0.21355266666666667,0.15,0.0
Cahokia - Moorehead,USCahoL,NaCahkl,1200.0,1200.0,50000.0,20000.0,15000.0,0.1,,,0.1,0.2,0.210517,0.15,0.0
early Illiniwek (Illinois Confederation),USIllin,UsIllc*,1700.0,1700.0,12000.0,20000.0,4000.0,0.1,0.5,0.3,,0.2,0.12219045454545455,0.15,0.0
Kingdom of Hawaii - Kamehameha Period,USKameh,HaKmhk*,1800.0,1800.0,193000.0,15000.0,2000.0,-0.2,0.6,0.5,0.60000000000000009,0.2,0.31572969999999995,0.2,0.23076923076923078
Cahokia - Early Woodland,USMisEW,NaWooce,-400.0,-400.0,2000.0,20000.0,500.0,0.1,,,0.2,0.0,0.026013599999999994,0.1,0.0
Cahokia - Emergent Mississippian II,USMisME,NaMisc*,1000.0,1000.0,48000.0,400000.0,500.0,0.1,,,,0.2,0.17985864285714287,0.1,0.0
Cahokia - Middle Woodland,USMisMW,NaWoocm,100.0,-100.0,3000.0,20000.0,500.0,0.1,,,0.2,0.0,0.039993838709677425,0.05,0.0
Cahokia - Late Woodland II,USMisMu,NaWoocl,500.0,500.0,4000.0,20000.0,500.0,0.1,0.30000000000000004,0.3,0.2,0.2,0.0474478,0.1,0.0
Cahokia - Late Woodland III,USMisPa,NaWoocl,700.0,700.0,4000.0,20000.0,500.0,0.1,,,,0.2,0.0483929,0.1,0.0
Cahokia - Late Woodland I,USMisRo,NaHpwc*,400.0,300.0,34000.0,300000.0,500.0,0.1,0.30000000000000004,0.45,,0.0,0.11164162500000001,0.05,0.0
Cahokia - Sand Prairie,USMisSd,NaCahkt,1300.0,1300.0,50000.0,20000.0,11000.0,0.1,,0.6,,0.2,0.20692283333333333,0.15,0.0
Cahokia - Emergent Mississippian I,USMisSp,NaMisc*,800.0,900.0,45000.0,400000.0,500.0,0.1,,,0.2,0.2,0.164609,0.1,0.0
Oneota,USOneot,NaOnec*,1500.0,1500.0,533000.0,350000.0,1000.0,0.1,0.30000000000000004,0.3,0.1,0.2,0.10582480000000001,0.1,0.0
Koktepe I,UzKok01,UzKktn*,-1200.0,-1300.0,150000.0,200000.0,500.0,0.0,,,,0.2,0.116845,0.15,0.30769230769230771
Timurid Empire,UzTimur,UzTmre*,1400.0,1400.0,50653000.0,4729000.0,235000.0,0.05,0.55,0.1,0.4,0.2,0.59776228571428569,0.1,0.84615384615384615
