dataset,polity,avgtime,t_infomedia,t_techmilitary,t_warfare,t_communication,t_economy,t_infrastructure,t_politics,t_religion_moral,t_agriculturetech,t_alphabeth,SCALE,GOV,HIER
chronos,IdMpte*,1407,0.40,0.45,0.40,0.00,0.30,0.50,0.05,0.46,0.30,0.00,0.616859,0.817059,0.263467
chronos,IdMdnkl,1053,0.45,0.50,0.40,0.00,0.30,0.50,0.00,0.45,0.20,0.00,0.4343113333,0.618774,0.200658
chronos,IdMdnke,850,0.45,0.50,0.38,0.00,0.30,0.46,0.00,0.50,0.20,0.00,0.4109256,0.618774,0.1735581
chronos,IdMtrk*,1650,0.40,0.60,0.40,0.00,0.30,0.50,0.00,0.50,0.30,0.00,0.5791660625,0.817059,0.293579
chronos,InPrtk*,782,0.40,0.50,0.40,0.00,0.30,0.40,0.00,0.45,0.30,0.20,0.68710275,0.635345,0.356388
chronos,InVedcl,-778,0.40,0.40,0.30,0.10,0.15,0.35,0.05,0.40,0.30,0.00,0.417199,0.176101,0.185841
chronos,InSune*,-137,0.40,0.50,0.40,0.15,0.30,0.45,0.00,0.55,0.30,0.20,0.7516834545,0.080247,0.440368
chronos,InOchc*,-1853,0.10,0.30,0.10,0.00,0.15,0.30,0.00,0.28,0.26,0.00,0.3343466,0,0.039052
chronos,InDelk*,1368,0.40,0.52,0.40,0.20,0.30,0.50,0.00,0.50,0.30,0.20,0.7725369032,0.913509,0.602452
chronos,InKanke,553,0.40,0.50,0.40,0.05,0.30,0.45,0.00,0.55,0.30,0.20,0.715227,0.439522,0.33263
chronos,InMaue*,-247,0.40,0.50,0.40,0.20,0.30,0.48,0.00,0.55,0.30,0.20,0.7468221429,0.715593,0.440368
chronos,InMgle*,1679,0.40,0.60,0.40,0.20,0.30,0.50,0.02,0.50,0.30,0.20,0.8022000909,0.9208255909,0.416611
chronos,InRstk*,832,0.35,0.50,0.40,0.00,0.30,0.40,0.00,0.45,0.30,0.20,0.639953,0.635345,0.353802
chronos,InGptee,348,0.40,0.50,0.40,0.05,0.30,0.50,0.00,0.55,0.30,0.20,0.6931810714,0.342758,0.453076
chronos,IqAbsee,847,0.40,0.50,0.40,0.25,0.30,0.50,0.10,0.50,0.30,0.20,0.7696935094,0.6614095472,0.464603
chronos,IqAbsel,1158,0.40,0.50,0.40,0.28,0.30,0.50,0.00,0.50,0.28,0.20,0.693474,0.6401974,0.39544
chronos,IqAkke*,-2212,0.36,0.30,0.20,0.14,0.20,0.44,0.00,0.35,0.20,0.17,0.5573676471,0.442899,0.39544
chronos,IqUrdk*,-2054,0.40,0.30,0.20,0.19,0.20,0.45,0.00,0.35,0.20,0.15,0.4878656364,0.442899,0.350034
chronos,IrAche*,-429,0.40,0.42,0.37,0.17,0.30,0.40,0.00,0.43,0.20,0.20,0.62784696,0.9761122267,0.518472
chronos,IqUbakf,-5903,0.14,0.15,0.10,0.00,0.10,0.26,0.05,0.25,0.15,0.00,0.1566146,0,0.069163
chronos,IrBuyk*,993,0.40,0.50,0.40,0.20,0.30,0.50,0.10,0.50,0.30,0.20,0.690953,0.442247,0.442954
chronos,IqFcrct,-6416,0.10,0.12,0.10,0.00,0.10,0.25,0.03,0.25,0.18,0.00,0.3297239083,0,0.024795425
chronos,IrParee,-40,0.40,0.51,0.40,0.20,0.30,0.40,0.00,0.40,0.30,0.20,0.6646135789,0.635294,0.425551
chronos,IqOuec*,-6778,0.10,0.10,0.10,0.00,0.05,0.25,0.05,0.25,0.15,0.00,0.1006959,0,0
chronos,IrSfve*,1567,0.40,0.60,0.40,0.15,0.30,0.50,0.00,0.50,0.30,0.20,0.7099223333,0.817059,0.449308
chronos,IrSasel,577,0.40,0.50,0.40,0.20,0.30,0.50,0.15,0.45,0.30,0.20,0.7479368667,0.715593,0.512117
chronos,IrSasee,364,0.40,0.50,0.40,0.20,0.30,0.50,0.15,0.45,0.30,0.20,0.69695975,0.648855,0.512117
chronos,IrSele*,-194,0.40,0.50,0.40,0.20,0.30,0.40,0.00,0.40,0.30,0.30,0.698526871,0.623206,0.440846
chronos,IrSlqe*,1125,0.40,0.50,0.40,0.20,0.30,0.50,0.10,0.50,0.21,0.20,0.7477684737,0.8203874211,0.356388
chronos,IqIsnkl,-1953,0.40,0.35,0.20,0.00,0.20,0.45,0.00,0.35,0.20,0.15,0.480481,0.450938,0.350034
chronos,ItApncf,-2301,0.00,0.25,0.10,0.00,0.05,0.05,0.05,0.10,0.20,0.00,0.03553036842,0,0
chronos,ItApncl,-982,0.05,0.30,0.19,0.00,0.19,0.19,0.00,0.19,0.30,0.00,0.18735005,0,0.092921
chronos,ItApnce,-1503,0.00,0.30,0.10,0.00,0.10,0.05,0.05,0.10,0.20,0.00,0.07963685,0,0
chronos,GeGmpne,524,0.45,0.50,0.40,0.20,0.30,0.50,0.10,0.50,0.30,0.30,0.6125161,0.728683,0.440846
chronos,ItHorel,1451,0.40,0.50,0.40,0.10,0.30,0.50,0.10,0.50,0.30,0.30,0.6320208,0.913509,0.3736894667
chronos,ItPapre,1588,0.40,0.57,0.40,0.25,0.30,0.50,0.10,0.50,0.30,0.30,0.520868,0.817059,0.33263
chronos,GeHoree,1051,0.40,0.50,0.40,0.10,0.30,0.50,0.10,0.50,0.30,0.30,0.6238324783,0.817059,0.4093908261
chronos,ItHorem,1261,0.40,0.50,0.40,0.10,0.30,0.50,0.10,0.50,0.30,0.30,0.6401131905,0.817059,0.3717147143
chronos,ItPaprl,1742,0.43,0.60,0.40,0.30,0.35,0.50,0.10,0.50,0.30,0.30,0.5502059048,0.817059,0.362742
